"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050393,MSPB-1,1.087706,,01/01/2018,12/31/2018
050394,MSPB-1,0.983693,,01/01/2018,12/31/2018
050396,MSPB-1,0.993965,,01/01/2018,12/31/2018
050397,MSPB-1,N/A,1,01/01/2018,12/31/2018
050407,MSPB-1,0.809891,,01/01/2018,12/31/2018
050411,MSPB-1,0.846900,,01/01/2018,12/31/2018
050414,MSPB-1,0.925287,,01/01/2018,12/31/2018
050417,MSPB-1,0.930781,,01/01/2018,12/31/2018
050423,MSPB-1,1.011865,,01/01/2018,12/31/2018
050424,MSPB-1,0.941541,,01/01/2018,12/31/2018
050425,MSPB-1,0.922040,,01/01/2018,12/31/2018
050426,MSPB-1,1.041701,,01/01/2018,12/31/2018
050438,MSPB-1,0.984535,,01/01/2018,12/31/2018
050441,MSPB-1,0.990299,,01/01/2018,12/31/2018
050444,MSPB-1,0.937647,,01/01/2018,12/31/2018
050454,MSPB-1,0.984442,,01/01/2018,12/31/2018
050455,MSPB-1,0.997777,,01/01/2018,12/31/2018
050457,MSPB-1,0.924789,,01/01/2018,12/31/2018
050464,MSPB-1,0.987960,,01/01/2018,12/31/2018
050468,MSPB-1,1.169309,,01/01/2018,12/31/2018
050471,MSPB-1,1.032598,,01/01/2018,12/31/2018
050481,MSPB-1,1.012366,,01/01/2018,12/31/2018
050485,MSPB-1,1.005457,,01/01/2018,12/31/2018
050488,MSPB-1,1.039994,,01/01/2018,12/31/2018
050492,MSPB-1,1.030794,,01/01/2018,12/31/2018
050496,MSPB-1,0.949739,,01/01/2018,12/31/2018
050498,MSPB-1,0.954650,,01/01/2018,12/31/2018
050502,MSPB-1,1.008117,,01/01/2018,12/31/2018
050503,MSPB-1,0.970044,,01/01/2018,12/31/2018
050506,MSPB-1,1.015808,,01/01/2018,12/31/2018
050510,MSPB-1,0.813163,,01/01/2018,12/31/2018
050512,MSPB-1,0.908694,,01/01/2018,12/31/2018
050515,MSPB-1,0.779414,,01/01/2018,12/31/2018
050516,MSPB-1,0.945091,,01/01/2018,12/31/2018
050517,MSPB-1,1.162592,,01/01/2018,12/31/2018
050523,MSPB-1,0.951363,,01/01/2018,12/31/2018
050526,MSPB-1,1.144642,,01/01/2018,12/31/2018
050528,MSPB-1,0.945921,,01/01/2018,12/31/2018
050534,MSPB-1,0.974529,,01/01/2018,12/31/2018
050537,MSPB-1,0.898164,,01/01/2018,12/31/2018
050541,MSPB-1,0.971427,,01/01/2018,12/31/2018
050543,MSPB-1,1.182858,,01/01/2018,12/31/2018
050546,MSPB-1,N/A,1,01/01/2018,12/31/2018
050547,MSPB-1,N/A,1,01/01/2018,12/31/2018
050548,MSPB-1,N/A,1,01/01/2018,12/31/2018
050549,MSPB-1,1.019381,,01/01/2018,12/31/2018
050551,MSPB-1,1.061703,,01/01/2018,12/31/2018
050557,MSPB-1,0.979648,,01/01/2018,12/31/2018
050561,MSPB-1,0.982586,,01/01/2018,12/31/2018
050567,MSPB-1,0.973506,,01/01/2018,12/31/2018
050568,MSPB-1,0.895912,,01/01/2018,12/31/2018
050570,MSPB-1,1.083066,,01/01/2018,12/31/2018
050573,MSPB-1,0.946500,,01/01/2018,12/31/2018
050580,MSPB-1,1.110235,,01/01/2018,12/31/2018
